Year	Month	Bank_Balance	Revenue	Bonus	Gammiat	ZAKAT	Salaries	Maint	Stock	Home_Expenses	Cleanind	Medicines	Club	Cloths	Schools	Education	Internet	Electric	Gas	Add_Expenses	Fuel	Balance
2022	???? 22	70000	30000	0			-3500	-200		-6500	-400	-500				-3000	-250	-400	-100	-1500	-600	83050
2022	????? 22	83050	39000	0	-4000		-3500	-200	-20000	-12000	-400	-500		-4500		-3000	-500	-1000	-100		-750	71600
2022	???? 22	71600	41000	-410	-4000		-3500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	91240
2022	????? 22	91240	39000	0	-4000		-3500	-200	-20000	-10000	-400	-500				0	-500	-1000	-100		-750	89290
2022	????? 22	89290	43000	-430	-4000		-3500	-200		-10000	-400	-500			-8000	0	-500	-1000	-100		-750	102910
2022	????? 22	102910	39000	0	20000	-8000	-3500	-200	-60000	-10000	-400	-500	-1200	-4500		0	-500	-1000	-100		-750	71260
2022	?????? 22	71260	50000	-500			-3500	-200		-10000	-400	-500			-40000	-3000	-500	-1000	-100		-750	60810
2022	?????? 22	60810	80000	-800			-3500	-200	-20000	-10000	-400	-500				-3000	-500	-1000	-100		-750	100060
2022	?????? 22	100060	39000	0			-3500	-200		-10000	-400	-500				-3000	-500	-1000	-100		-750	119110
2022	?????? 22	119110	41000	-410			-3500	-200	-20000	-10000	-400	-500		-4500		-3000	-500	-1000	-100		-750	115250
2023	????? 23	115250	30000	0			-4500	-200		-10000	-400	-500				-3000	-500	-1000	-100		-750	124300
2023	?????? 23	124300	50000	-500			-4500	-200	-30000	-10000	-400	-500			-30000	-3000	-500	-1000	-100		-750	92850
2023	???? 23	92850	33000	0			-4500	-200		-15000	-400	-500				-3000	-500	-1000	-100	-1000	-750	98900
2023	????? 23	98900	39000	0			-4500	-200	-20000	-10000	-400	-500		-4500		-3000	-500	-1000	-100		-750	92450
2023	???? 23	92450	36000	0			-4500	-200		-10000	-400	-500				-3000	-500	-1000	-100		-750	107500
2023	????? 23	107500	36000	0			-4500	-200	-20000	-10000	-400	-500				-3000	-500	-1000	-100		-750	102550
2023	????? 23	102550	36000	0		-8000	-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	112600
2023	????? 23	112600	40000	-400			-4500	-200	-60000	-10000	-400	-500	-1200	-4500		0	-500	-1000	-100		-750	68550
2023	?????? 23	68550	50000	-500			-4500	-200		-10000	-400	-500			-40000	0	-500	-1000	-100		-750	60100
2023	?????? 23	60100	80000	-800			-4500	-200	-20000	-10000	-400	-500				0	-500	-1000	-100		-750	101350
2023	?????? 23	101350	45000	-450			-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	127950
2023	?????? 23	127950	45000	-450			-4500	-200	-40000	-10000	-400	-500		-4500		0	-500	-1000	-100		-750	110050
2024	????? 24	110050	30000	0			-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	122100
2024	?????? 24	122100	50000	-500			-4500	-200	-20000	-10000	-400	-500			-30000	0	-500	-1000	-100		-750	103650
2024	???? 24	103650	33000	0			-4500	-200		-10000	-400	-500				0	-500	-1000	-100	-1000	-750	117700
2024	????? 24	117700	40000	-400			-4500	-200	-20000	-10000	-400	-500		-4500		0	-500	-1000	-100		-750	114850
2024	???? 24	114850	40000	-400			-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	136500
2024	????? 24	136500	40000	-400			-4500	-200	-20000	-10000	-400	-500				0	-500	-1000	-100		-750	138150
2024	????? 24	138150	40000	-400		-8000	-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	151800
2024	????? 24	151800	40000	-400			-4500	-200	-60000	-10000	-400	-500	-1200	-4500		0	-500	-1000	-100		-750	107750
2024	?????? 24	107750	50000	-500			-4500	-200		-10000	-400	-500			-40000	0	-500	-1000	-100		-750	99300
2024	?????? 24	99300	82000	-820			-4500	-200	-20000	-10000	-400	-500				0	-500	-1000	-100		-750	142530
2024	?????? 24	142530	45000	-450			-4500	-200		-10000	-400	-500				0	-500	-1000	-100		-750	169130
2024	?????? 24	169130	45000	-450			-4500	-200	-20000	-10000	-400	-500		-4500		0	-500	-1000	-100		-750	171230
2025	????? 25	171230	45000	-450			-4500	-200	-20000	-10000	-400	-500					-500	-1000	-100		-750	177830
2025	?????? 25	177830	45000	-450			-4500	-200	-20000	-10000	-400	-500					-500	-1000	-100		-750	184430
	36	177830	44055.55556	-313.0555556			-152000	-7200	-530000	-363500				-4500	-188000	-36000	-17750	-35400	-3600		-26850	184430
																						
																						
							
